0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0.31384924	1.2919277	-1.6285334	3.3614056	-1.4310975	0.51629037	1.2225959	-0.7759249	-0.6603256	-0.7703476	-0.68963945	-1.8284338	-3.181811	-0.31685078	1.1135396	-0.9445116	0.51189584	-1.8421175	-3.3419082	-1.2217056	-1.6499276	-1.6478051	3.0196686	1.0569575	-0.4553407	0.24371226	3.54042	-0.14257991	-1.1559252	-1.8168657	0.036569476	0.1498228	-1.0805837	-0.6376083	-0.42707834	1.652348	-1.549554	-0.6351189	-1.4128342	0.04318303	0.38420856	-0.5446716	0.36939925	2.2503183	-2.5199168	-2.3566535	0.80191076	0.35315695	0.72036594	-0.37743822	-1.1766555	-0.5885127	-0.80073076	-0.687891	2.79522	3.1475422	-0.9634517	1.8565235	2.4750655	-1.3390639	-1.6304104	-1.2543564	-1.5389906	0.17439371
-0.4472401	-0.46593016	-1.465242	2.4389672	1.4094148	1.0694833	-0.91511905	2.5592835	-0.66279024	-0.34222078	-3.871266	0.9199289	-0.6113276	-0.43891197	-3.3680987	-0.053528123	0.16074076	1.8524837	1.3193314	0.5917134	-1.444052	1.5468534	2.7729082	-0.78116065	-1.1003203	-0.3204121	-0.727874	-2.3002799	-1.1761315	2.3804212	3.20438	-0.06866215	1.3147638	1.8722783	0.8762649	2.3461761	1.817241	0.48414776	-0.03048418	-0.35343933	0.76388586	1.9556453	0.009021757	-0.27813774	-0.7338851	-0.22129864	0.93941355	1.1652492	-0.14027864	1.0955735	1.0849473	-0.23551576	1.0358961	-1.3138057	-0.3729962	-0.32372436	0.0938822	0.7629215	2.0172555	0.8228638	-2.2909157	0.17300789	0.38808602	0.6465741
1.165827	1.5621884	-0.7412783	-0.80021673	-2.464362	-0.62980086	0.62651664	-2.5702136	2.5746138	0.9641982	0.75806767	-2.4877212	-2.9366813	1.7356083	-1.2968054	-3.7440627	3.6538765	2.3931663	-4.029048	-0.14971226	1.4615519	3.1663313	6.65334	-0.9362705	-1.0581558	1.8192431	2.5054278	-1.9431574	2.2803102	-0.4572007	0.17026097	1.3403755	-1.8706311	1.0906972	-2.4046612	0.61562544	-3.3578293	0.124118924	0.55124515	-1.5434741	0.48015654	-1.323174	-3.3505106	-1.339716	0.41753858	1.1142044	1.3885775	2.4012823	0.21307299	1.920541	-0.6557981	-1.1945394	0.51811993	2.7386289	-1.3297949	0.9714049	-0.8843823	2.252347	0.8481028	2.1248393	1.8530072	0.73888206	1.5508114	-4.1223655
-1.585725	-0.16828205	-0.733794	1.2783396	-1.2825718	-1.1842531	0.69368416	-0.254726	1.2099991	1.2442887	0.6141397	-1.7467357	-2.6340747	-0.07742149	1.0290838	-2.2624235	0.50708485	-0.9179606	-2.0824149	-0.51670635	0.71040004	0.9218875	-1.0200353	0.6889387	2.000979	2.8752184	-1.0211661	0.73074996	-0.43103254	0.42266226	-0.6441324	0.14310467	-4.1891437	-0.8915252	-1.2646658	0.37510797	-0.42089674	1.3637025	-0.4755716	-1.1086719	2.1009004	0.62337255	-1.1418948	2.577982	-0.76998115	2.2584195	0.23508872	0.0101494845	-0.4865424	-2.0065057	-0.9038366	0.16075093	-1.014721	-0.025371552	0.07011211	0.85427105	-0.15860224	-0.5605303	1.3616048	1.4258239	-1.46295	-0.26488748	0.12899853	-0.523701
-1.5470244	1.9597881	-1.7569755	0.12316564	-1.3883784	0.9273206	-0.644544	1.0255213	1.2177942	-1.508378	-1.9816551	-1.5989194	0.49180424	1.5335021	-1.1540077	-2.931122	-0.35413942	-1.0542892	0.15890372	0.97983813	-0.033782773	0.7232467	-0.24661657	1.5268093	-2.2304442	2.432641	-0.11109628	-0.05096048	0.15843134	1.5288612	0.8978766	0.42070886	0.1745548	1.1380733	0.2122787	3.140771	-0.036873534	0.36146435	0.02082192	1.3739886	-1.4082909	-0.8437199	-1.8932972	0.8445063	-0.97876453	-0.44733527	-0.45139942	1.3498358	0.9076278	1.5681597	-1.762864	0.7241415	-0.7161693	2.1967275	-0.2933236	-0.16616404	1.169336	2.068616	0.24199599	1.1274127	-0.2338957	1.4701065	-0.1820468	-0.107985884
1.4790617	1.5699793	-1.0698429	-0.60854036	0.9950684	0.3959937	-1.9827048	3.3656163	0.049938142	-0.21613201	-2.4576988	-2.0072944	0.3317235	2.0351148	-1.3904554	-1.7688364	-0.8096021	-0.26579058	0.27646905	1.1913763	-1.7799182	3.4450488	1.53988	0.13782571	-1.3717163	2.1786	1.2811561	-1.8014185	0.27301204	-1.0591737	3.2167678	-0.10091579	2.4197228	0.98564184	-1.5884521	0.7313732	0.6782117	0.45986757	0.93782127	-1.5096973	-0.6793709	-1.1327233	-1.9065454	1.503777	1.8682592	-0.8377621	-1.2057667	0.83468693	1.096142	1.6400058	-2.1287475	0.79818374	-0.7365832	2.1884816	1.845865	0.16562474	-1.3404067	2.7074509	0.45245507	-0.4729525	0.32055166	1.8401289	-0.3532654	-1.0262674
-0.6588336	-1.9841635	1.4770217	1.7346056	0.36863083	-1.6649989	-2.2380564	1.6528533	0.62976253	-0.735931	-1.4412311	-0.55706143	2.2759154	0.435447	-0.4899382	-0.49296767	1.6726136	-0.25775552	3.7058332	1.3471582	0.6932714	1.2655052	2.5015903	0.30043358	-0.834714	-1.4880109	0.35441875	0.9483017	-1.0705711	-2.3402715	1.3017745	-0.79635334	1.4430035	1.7513126	-2.5887017	-0.57813835	0.37805	-0.97590995	-1.175123	0.5985467	-1.7469172	0.5046352	0.74732155	0.49783617	0.21027432	-0.34245378	-0.5237613	1.2973586	-0.042824686	-1.077223	0.22578329	0.53758186	0.5271645	-0.82030034	2.3355372	-1.5592102	-1.2368896	0.71566963	1.8314481	0.0008877069	0.7914915	1.6827528	-1.828172	1.6606181
-1.0066761	0.83732826	1.6202321	-0.3292857	-0.29546282	0.90766394	-0.88061345	3.7059166	0.8900529	-1.2476335	-1.1464325	1.138301	-0.35811716	1.3813944	-1.3181537	-0.527571	-0.37672675	1.559377	0.44664603	-0.15881485	1.2556132	2.0490541	4.3137555	2.6318297	0.34628326	1.0168723	1.8417028	-2.1953213	0.6669348	1.3990355	1.4851556	-2.9821758	1.7968103	2.9288306	0.033190645	0.4466743	0.9572437	-0.5616418	1.4669604	1.0502676	1.0240194	-0.9416815	-0.8101025	0.4893039	2.0044203	-0.39792374	1.1187482	2.077837	0.689978	2.9916286	-2.01	0.5299373	-1.2651622	0.6952416	3.1337407	0.7336962	0.1456507	-1.8392187	-0.29500353	0.012707204	-1.5218338	0.30811632	-1.9878953	0.16357422
-0.17740823	-0.63010997	-0.27816778	0.4693985	1.0698874	1.5164325	-1.9058379	1.6337345	-2.339873	-0.6507922	-0.7541492	0.09142929	-0.9104392	0.7299637	-2.3702202	-1.1543324	-1.2209063	2.5240428	0.49149418	0.24342924	-0.7584768	-0.5662394	2.6251452	-0.07251504	-1.144857	-0.35182497	-0.6648036	-0.5432452	-0.17709365	-1.0929856	1.2179374	-0.07126305	-1.0224234	2.3266652	-1.5151292	1.5110407	2.2126622	2.071176	0.017098438	0.14660423	-1.2476693	0.05428136	-1.9216679	-0.65904385	0.8893685	-0.6834449	-0.013861507	1.0178995	-2.010621	-0.5681438	0.8629125	0.81073594	-1.5016067	-1.1173759	0.13249812	-0.9718863	-1.1000578	0.6233341	1.6383175	1.0481217	1.1887926	-0.11898391	0.17825848	0.69157606
-0.67437136	-1.629652	-0.003167659	0.5423538	0.45973513	1.1079762	-1.3776729	2.4016378	1.0821217	1.0257046	0.11863419	1.1816232	0.66317064	0.8826435	-0.40404415	-0.26492235	0.28066996	0.35035813	1.6735091	-0.25632542	-1.8115524	2.220045	2.1694703	1.5082815	-1.315924	0.29481634	-1.3983192	0.81635606	0.63689804	1.2127469	0.27667734	-0.03114188	1.8664628	1.3287404	-1.549469	-0.28206158	0.7959511	-0.060866572	-0.10930517	0.43712175	0.05018276	0.273669	0.40842313	0.64615184	0.3608882	0.6977495	-2.6330009	0.8662394	-0.81131727	-1.1022737	-1.4159493	0.5750715	-1.2817802	0.46550584	1.3603138	-2.4621575	-0.3756441	0.11016559	0.93705463	1.105826	0.73393345	0.5657789	-0.3757128	2.188723
