0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0.14686689	-1.6845012	0.7092977	0.2008143	0.680474	1.3907229	-1.3188456	0.7849596	0.58790475	-0.78422105	1.4850852	0.82788515	-0.021478862	-0.8225782	-0.42557168	-1.9104451	1.0522844	-0.44592157	-3.421588	-0.44013777	2.4755564	0.96901685	0.59006846	4.052683	-0.94056606	-0.27185974	-0.76997715	2.083219	-0.61367816	0.3454155	0.75315714	-2.7382317	0.78900707	5.1564355	-3.5584006	1.7373664	-0.8830774	1.6671	0.17339908	1.8396106	0.6210504	0.00090774894	-0.99999434	-2.5408154	-0.7820209	2.323166	2.5300078	-0.9729689	-1.1354802	0.23763151	-0.30139944	0.0995539	-0.10411374	-1.3218286	-1.3169291	-0.5310389	-0.8063199	1.8405917	-2.3419394	-2.3399973	0.8670298	1.6635594	1.2969122	-0.21660542
-0.5029994	-4.0729327	-0.49901488	0.03707198	1.7496465	1.2092237	-0.64323413	0.22168794	2.0397015	-1.366299	0.16654456	-0.8242761	-0.26697224	2.033927	2.4755812	0.23629788	1.0168428	-0.44093665	-0.20512012	-1.8413205	0.0007001236	1.6006572	-0.37337372	-1.9313575	0.88754654	-0.7094319	0.043585643	1.0985916	0.9302518	0.05711463	1.3586807	1.4092313	-2.972704	-0.044628136	-0.2700741	-0.73734725	1.0257964	1.0848298	0.47972447	2.6624942	2.4232957	0.845905	0.8057166	-1.0322841	-0.42814836	0.21585059	0.45620456	-0.48524904	-1.8269244	-0.3891989	-0.6145399	-0.42745867	-0.74394536	0.030296803	-0.9968102	0.30962276	-0.12744693	0.040097266	0.16381201	2.4098806	0.25156543	-0.92899996	-0.3196429	1.3620377
-2.3601346	1.12188	-4.576581	-0.74552494	2.779251	-0.97034395	-0.16051117	0.79902554	-2.8381796	-1.3315575	-1.4281998	-0.111237526	0.52402586	2.3915281	-2.2472386	-5.1234074	0.31363124	-0.9954343	1.3599322	0.9378114	2.756935	2.413548	-0.4133324	1.5368354	-0.31857252	-0.5650964	0.37041306	-1.539046	3.2172725	-2.996132	-0.34944612	2.821867	-2.118777	-1.5128989	-3.9029367	-1.2066311	1.0702283	0.041345417	3.5465796	-0.43689942	0.073587745	-0.9031029	-0.38552472	-0.017027244	0.29038933	0.36672595	1.2927542	1.8628054	1.5112016	5.258812	-0.09775456	-1.407703	1.2917107	2.349037	-0.3557207	0.7013809	-1.3047314	2.8139944	-2.6619055	-0.72344095	-1.3731871	1.2999376	-1.7322631	-0.68545955
-2.1375253	1.8712387	-4.8873377	-0.48090622	0.08371423	-0.22821137	-1.5077603	-0.9192266	-0.9767842	-2.7896788	-2.2267861	2.5490973	-2.0369287	-0.68841374	1.6649811	0.25257668	-0.596003	-0.13025875	-3.0077481	-4.9801626	1.6020421	0.43944234	3.2324574	2.151235	-2.3967712	-0.9914782	-2.2243907	-1.2921356	0.42900562	-1.3534579	-3.256979	-1.1939616	-0.15809113	3.447947	-1.9349474	2.7953553	0.21341956	1.7593926	0.51287997	-3.2083335	2.6669285	-2.9184875	-2.3693666	-1.2179613	-1.7719615	1.4770126	3.5859025	-4.39935	-0.13856703	2.2664444	1.0641444	0.17436427	-0.645653	3.1211214	-0.3202889	-1.9430465	-2.9697256	0.3736164	-4.1712375	-0.89519286	-4.8707933	0.7762014	0.64195687	0.934186
-0.08459632	-1.2036357	-1.5702305	-0.5067322	2.7806203	0.9618001	-0.84531415	-1.8173224	0.92346287	0.2518501	0.76108116	-0.47572467	-0.7224322	0.282192	-0.24408734	1.3515139	-0.24049263	-0.31182355	-1.6714485	-2.0926204	0.83552426	0.87622017	2.1713552	0.30399218	-1.4853077	0.52106726	-1.742042	-0.6483714	0.79520184	-0.33273983	-1.4057833	0.09336605	-3.1022089	1.8964341	-0.14723542	-1.4252645	-0.29051664	-0.30659008	1.0711142	-0.9800389	-0.38489693	-1.3215166	-1.0428679	-1.8020484	0.8542799	1.6482108	-0.91182756	-1.505984	-0.09206491	1.8475178	1.6758717	-1.142531	-0.98990494	0.5110283	0.42600465	-1.0837904	-1.384885	0.36512482	-0.59136474	0.6046136	-0.43336946	0.9173836	0.7835398	0.13885005
-0.9209751	0.6773832	0.9833349	-0.51015383	0.9339885	-0.7488791	0.1443698	0.3241033	-0.3887131	0.4645877	0.6678054	-0.74728453	0.2825275	1.7481769	0.021089405	-0.63449216	0.65645313	0.38645476	0.52425236	-1.8650974	0.43342674	1.5201275	0.43715778	0.47111174	-0.5187101	-0.025057763	-0.6184495	0.57049495	0.8718982	-1.1661389	-0.7929228	-0.41105294	0.423627	-0.37911463	-1.1373885	-0.24283028	0.013679743	0.81729734	-0.025590539	-0.63545704	0.79304314	-1.2888615	0.07858506	-1.6598489	0.49724182	1.1488438	-0.9781827	1.6036663	-0.891476	0.21414767	0.35287872	-0.81279594	-1.9812458	-1.2863486	-1.3488686	0.6789053	-0.06160368	1.456902	-0.61115694	-0.97056973	-1.2177942	-0.14157927	1.192558	-0.936329
0.22575375	-0.65764576	0.30181283	0.075897254	0.868537	-1.4509012	-1.9140788	-0.7285702	1.8055034	-1.1358294	1.7557759	-1.5610265	0.29973274	2.1450558	-0.1140791	1.3701501	0.6573123	-1.0293424	-0.28472012	-0.22463389	0.20183942	-0.66044205	-0.13700248	-0.14273281	1.0575507	0.312119	-0.6091804	0.23456432	-1.3668281	-0.2150423	1.7662205	0.8147473	0.50099283	-2.8109078	-0.5857272	0.4844062	0.80138993	0.67277586	-0.5949597	1.4028002	1.4443185	-0.53879714	-1.0031468	-1.8543487	1.9181693	1.1810246	0.07403728	0.72514874	-0.98689723	-1.6397711	-0.10728868	0.4656641	0.89660305	-1.8087811	-0.2797863	-0.43740436	-0.57729936	0.48934937	1.079196	-1.0332185	-0.08054344	-0.72236204	0.35348338	-0.28367084
-0.82269657	-0.73823255	0.7105513	-0.09630338	2.5361085	-0.31858984	-0.25159135	0.6048135	0.47771165	1.3400996	1.5002501	-1.2563665	-0.33968782	1.4964638	0.80130136	0.50401497	0.951401	0.05770683	-1.5028331	0.053068206	0.42031842	1.2560833	1.8552552	-1.1620187	0.5966556	-0.8982426	-0.05285219	1.9545914	1.8851945	-1.8912898	0.2209585	-0.37632632	-1.1667781	-0.2957753	-0.14978597	1.5879918	0.04215558	2.3319993	2.2179	2.3120844	1.6942818	-0.82337826	-0.9907626	-1.8815918	1.4585351	1.4045871	-0.9404564	1.4166993	-1.5238098	-2.285992	-1.5012718	-0.29705715	-1.1333082	-0.843554	-0.5836427	1.4029671	0.2517631	0.44921565	1.0199747	0.30172572	0.5517141	-0.52056617	-0.418343	-1.085267
-0.426067	-0.23332389	0.72255206	-0.68836975	1.6423434	0.5465584	-1.9568447	-2.1838331	-0.08939584	-2.252541	1.8634443	0.25067163	0.84810495	2.7586985	1.5699612	-0.39124838	0.8065343	-0.015633896	1.9326687	0.021326557	-0.59477866	1.1844409	-2.187135	-1.4123003	0.92090905	-0.39288738	1.3391526	-1.8561567	0.56943935	-0.2606544	0.15268782	-1.0223174	-1.3263209	0.23262313	-0.042704508	-1.0591273	-0.9592782	1.9808751	0.8181266	0.8526491	2.6899185	-0.96244407	1.2648089	-1.2451129	1.9896433	1.7425879	1.5466249	-0.37500042	0.47849488	-1.5456202	0.7530723	-1.1119099	-0.2764364	-1.1440313	-1.0188178	-0.8902301	0.33309847	1.0224986	-0.57766795	2.0745063	2.1067798	-0.5068114	1.3867247	0.8177096
-1.1248958	0.055126436	-2.0414424	-0.85986596	1.4357218	-0.5853215	-0.32946277	1.3277297	1.2851344	-0.0024551451	1.3911088	-0.47643596	0.7162993	2.2881742	1.1872457	3.2925644	-0.15828821	1.0513902	-0.5477458	-1.3373343	-0.2831559	0.27880827	1.0535872	-1.1197728	0.77398	-1.539928	-0.83809125	2.1937366	1.1303829	0.3700708	-0.4444387	-0.28138638	0.8162123	-0.26223138	0.42654768	0.21119961	-0.7156838	1.0046763	-1.9071236	1.6614612	2.2409377	-1.2914164	-0.48380196	-0.5312632	0.27019188	-0.4793697	0.3786386	2.9165628	1.1366023	0.5501821	0.32887548	-0.18501271	1.0107118	-0.50596285	0.1539023	0.2987267	-0.9384145	1.2257648	1.4613837	0.50477135	0.8869874	-1.1300918	-1.4907936	-1.6821076
