Mixture	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
LD0001	0.10664787869499252	0.06027384180934703	0.26156535125391950	0.09707947839158655	0.00000000000000000	0.02019386472163048	0.00000000000000000	0.00515118737082986	0.01381082066382116	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00344273650377726	0.03972768325430567	0.00000000000000000	0.00000000000000000	0.09666057847722649	0.28402556372789456	0.00000000000000000	0.01142101513066896	0.00000000000000000	0.80420322134056521	0.67532632896773204
LD0002	0.11951439266052140	0.00000000000000000	0.28197468816497573	0.10023800221822171	0.00000000000000000	0.02478518931634116	0.00000000000000000	0.01039939978321575	0.01949771771644847	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03337688995510083	0.00000000000000000	0.00000000000000000	0.04786091419836305	0.30419383963135943	0.00000000000000000	0.05815896635545233	0.00000000000000000	0.79687347956987131	0.70851197849241376
LD0003	0.20030449225347852	0.00000000000000000	0.23181582196206285	0.10291923478286019	0.00000000000000000	0.08464726180069362	0.00000000000000000	0.00419088262646794	0.02768627303796704	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04126605147979691	0.00152961175797525	0.00000000000000000	0.07929404128864820	0.21359724266517077	0.00000000000000000	0.01274908634487854	0.00000000000000000	0.84732298275732532	0.65067176656727865
LD0006	0.21358509809198623	0.01961698467473362	0.28646470187562317	0.10205227615589592	0.00000000000000000	0.04109187131941120	0.00000000000000000	0.00398614908855797	0.01800871866085867	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04784185720413624	0.00068554777918836	0.00000000000000000	0.05194248393188874	0.20197169593245251	0.00000000000000000	0.01275261528526754	0.00000000000000000	0.85147052482676777	0.63507074960507193
LD0007	0.18398678930936399	0.00000000000000000	0.31325642110134011	0.09197728695462024	0.00000000000000000	0.02212150771266110	0.00000000000000000	0.00980771922482922	0.00000000000000000	0.00587615618262430	0.00000000000000000	0.00158578734559627	0.00000000000000000	0.03343865449839220	0.01638948101278679	0.00000000000000000	0.00000000000000000	0.30630705102903510	0.00000000000000000	0.01525314562875067	0.00000000000000000	0.82866865302019199	0.66133415127427775
LD0008	0.14005864896892867	0.03464633078903749	0.25639103031859611	0.06917896012094349	0.00000000000000000	0.03564232056784111	0.00000000000000000	0.01255910250001875	0.00000000000000000	0.00059416061549706	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05330838488855751	0.00000000000000000	0.00000000000000000	0.14695610075402021	0.23450781430975454	0.00000000000000000	0.01615714616680495	0.00000000000000000	0.77036590003637517	0.69896840212374545
LD0009	0.19671959044693735	0.00000000000000000	0.19786868681981321	0.10819088951385261	0.00000000000000000	0.02813062724963587	0.00000000000000000	0.00000000000000000	0.02179970089095622	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02442512851266592	0.01158604231612329	0.00000000000000000	0.00476851910009671	0.40651081514991888	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.87103159765715121	0.60970647236226894
LD0011	0.16211981295997177	0.00843224653138492	0.31533393855513542	0.13079300289958121	0.00000000000000000	0.01804649190469255	0.00000000000000000	0.00612606203956869	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04188364855846085	0.00000000000000000	0.00000000000000000	0.06308001452867264	0.24096282913001582	0.00994776780503392	0.00327418508748216	0.00000000000000000	0.80485324292469973	0.68678683788811834
LD0012	0.19127979385274665	0.00000000000000000	0.20337850659560835	0.09293021120129742	0.00000000000000000	0.03054678067446319	0.00000000000000000	0.01316284497717526	0.00631621902273961	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02792043753820895	0.02821178801986331	0.00000000000000000	0.00000000000000000	0.08645038915754807	0.29206646537899816	0.00000000000000000	0.02773656358135098	0.00000000000000000	0.85854410504433953	0.63337728873531252
LD0013	0.17745529868033419	0.00000000000000000	0.24923737698887319	0.12209925985162678	0.00000000000000000	0.03236886169139892	0.00000000000000000	0.01075627207645612	0.00879085140138330	0.00000000000000000	0.00000000000000000	0.00685509502316705	0.00000000000000000	0.03444727567876960	0.00130402794621217	0.00000000000000000	0.02767681631565300	0.31763859015335472	0.00000000000000000	0.01137027419277088	0.00000000000000000	0.84006764926986610	0.65518990213841899
LD0014	0.17003911739365749	0.00000000000000000	0.28876331917828579	0.14346918680265619	0.00000000000000000	0.06455094159047073	0.00000000000000000	0.00747261120463169	0.05440371441624559	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00512762316205283	0.04306018394729190	0.03344139651390919	0.00000000000000000	0.00748251680536838	0.17577510568301979	0.00000000000000000	0.00641428330241044	0.00000000000000000	0.85711753603945540	0.65732189067137925
LD0015	0.19352078433146097	0.00000000000000000	0.37385763339168643	0.10149490283635652	0.00000000000000000	0.08393698199054832	0.00000000000000000	0.00191744168533925	0.01169139341234385	0.00000000000000000	0.00000000000000000	0.00158623434969903	0.00000000000000000	0.01380535067412219	0.06784450866339486	0.00000000000000000	0.03523163748109854	0.11511313118395003	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.87978883285703513	0.63305664350328184
LD0016	0.21021773147715420	0.00000000000000000	0.22063339912115362	0.13094876656377669	0.00000000000000000	0.04132679225793355	0.00000000000000000	0.00277976090222014	0.04227043006834739	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01233464663848688	0.03047254785663729	0.00000000000000000	0.00000000000000000	0.07829561643065987	0.23072030868363033	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.86138358038794194	0.63584626782217679
LD0017	0.18911736395557632	0.00000000000000000	0.32462704151994021	0.10172552467228710	0.00000000000000000	0.03364525802774746	0.00000000000000000	0.01110592511645072	0.00924381271140275	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00928140310021388	0.03136408144278809	0.00030638297331601	0.00000000000000000	0.06735185063354768	0.22223135584672965	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.87263522013793160	0.63178865877303692
LD0018	0.13023929304528725	0.00000000000000000	0.26297957887062645	0.09555447732504380	0.00000000000000000	0.06727647008730485	0.00000000000000000	0.00772026507137269	0.01139224215022008	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03001321434867566	0.00000000000000000	0.00000000000000000	0.04364306486450206	0.33995639064848548	0.00000000000000000	0.01122500358848163	0.00000000000000000	0.83943572664669286	0.66402411080069690
LD0019	0.11705593171768630	0.02484564393416444	0.25953969781757602	0.12045299464881022	0.00000000000000000	0.02561211564309922	0.00000000000000000	0.00560904656385402	0.05641368819603920	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03877065876067249	0.00000000000000000	0.00000000000000000	0.03014431571567060	0.31311296376844616	0.00000000000000000	0.00844294323398109	0.00000000000000000	0.82999507888706137	0.66861592933311376
